   X,    Y,    Latitude,   Longitude, TMP_201906111700
  13,   13,   50.099051,  -99.858257,      -60.070
  14,   13,   50.102522,  -99.704921,      -60.070
  15,   13,   50.105881,  -99.551573,      -60.070
  16,   13,   50.109128,  -99.398214,      -60.070
  17,   13,   50.112265,  -99.244843,      -60.070
  18,   13,   50.115290,  -99.091462,      -60.070
  19,   13,   50.118203,  -98.938070,      -60.070
  20,   13,   50.121005,  -98.784668,      -60.070
  21,   13,   50.123696,  -98.631256,      -60.070
  22,   13,   50.126276,  -98.477835,      -60.070
  23,   13,   50.128744,  -98.324405,      -60.070
  24,   13,   50.131101,  -98.170966,      -60.070
  25,   13,   50.133346,  -98.017520,      -60.070
  26,   13,   50.135480,  -97.864065,      -60.070
  27,   13,   50.137502,  -97.710604,      -59.890
  28,   13,   50.139414,  -97.557135,      -59.890
  29,   13,   50.141214,  -97.403660,      -59.890
